id;name;description;price;hpp;branch_id;is_active;created_at;updated_at;category
3006;RAPID TEST FPV+FCOV+Giardia;TEST FPV,FCOV,GIARDIA (HPP Rp 74.280);150000;0;77;1;4/18/2026 04:31;4/18/2026 04:31;
3007;RECO TETES MATA;OBAT TETES MATA ANTIBIOTIK  (HPP Rp 10.300);20000;0;77;1;4/18/2026 04:32;4/18/2026 04:32;
3008;RECO TETES TELINGA;OBAT TETES TELINGA ANTIBIOTIK (HPP Rp 10.900);20000;0;77;1;4/18/2026 04:33;4/18/2026 04:33;
3009;JASA X-RAY KUCING;LAYANAN FOTO RONTGEN MENGGUNAKAN SINAR X (HPP Rp 190.000);225000;0;77;1;4/18/2026 04:33;4/18/2026 06:58;
3010;TETES KUTU /Kg;OBAT TETES KUTU PER KG (HPP Rp 7.500);20000;0;77;1;4/18/2026 04:34;4/18/2026 04:34;
3011;TETES KUTU PER 1/2 Kg;OBAT TETES KUTU PER 1/2 Kg (HPP Rp 7.500);10000;0;77;1;4/18/2026 04:35;4/18/2026 04:35;
3012;TINDAKAN PEMBERSIHAN LUKA RINGAN;PEMBERSIHAN LUKA RINGAN  (HPP Rp 15.000);50000;0;77;1;4/18/2026 04:36;4/18/2026 04:36;
3013;TINDAKAN PEMBERSIHAN LUKA BERAT;T. PEMBERSIHAN LUKA BERAT  (HPP Rp 30.000);200000;0;77;1;4/18/2026 04:37;4/18/2026 04:37;
3014;TINDAKAN PEMBERSIHAN LUKA SEDANG ;T. LUKA SEDANG (HPP Rp 15.000) ;150000;0;77;1;4/18/2026 04:37;4/18/2026 04:37;
3015;UNDERPAD;ALAS POOP/PEE  (HPP Rp 3.000);5000;0;77;1;4/18/2026 04:38;4/18/2026 04:38;
3016;VITAMIN NUTRI PETS 10gr;VITAMIN  (HPP Rp 8.812);20000;0;77;1;4/18/2026 04:39;4/18/2026 04:39;
3017;GROOMING JAMUR;GROOMING DENGAN SHAMPOO KHUSUS MAKS BB 5Kg (HPP Rp 20.000);70000;0;77;1;4/18/2026 06:33;4/18/2026 06:33;
3018;GROOMING JAMUR DAN KUTU;GROOMING DGN SHAMPOO KHUSUS DAN TETES KUTU (HPP Rp 30.000);100000;0;77;1;4/18/2026 06:33;4/18/2026 06:33;
3019;GROOMING KERING;GROOMING TANPA MANDI (POTKU, POTPAW, BERSIH TELINGA) (HPP Rp 5.000);30000;0;77;1;4/18/2026 06:34;4/18/2026 06:34;
3020;GROOMING KUTU;GROOMING INCLUDE TETES KUTU (HPP Rp 30.000);70000;0;77;1;4/18/2026 06:35;4/18/2026 06:35;
3021;GROOMING KUTU BB 5Kg;GROOMING BB 5Kg DENGAN TETES KUTU (HPP Rp 35.000) ;100000;0;77;1;4/18/2026 06:36;4/18/2026 06:36;
3022;GROOMING PAKET CALICO ;PAKET 5 KALI GROOMING SEHAT  (HPP Rp 50.000) ;150000;0;77;1;4/18/2026 06:37;4/18/2026 06:37;
3023;GROOMING PREMIUM;GROOMING INCLUCE OC, TETES KUTU, SHAMPO KHUSUS (HPP Rp 50.000);120000;0;77;1;4/18/2026 06:38;4/18/2026 06:38;
3024;GROOMING SEHAT;GROOMING BASIC (HPP Rp 10.000);40000;0;77;1;4/18/2026 06:38;4/18/2026 06:38;
3025;GROOMING SEHAT BB 5 Kg;GROOMING BASIC BB 5 Kg maks 6Kg (HPP Rp 12.000) ;50000;0;77;1;4/18/2026 06:39;4/18/2026 06:39;
3026;BIAYA ANTAR/JEMPUT PER 1KM;LAYANAN ANTAR/JEMPUT PER 1KM (HPP Rp 2.500);5000;0;77;1;4/18/2026 06:41;4/18/2026 06:41;
3027;BIAYA ANTAR/JEMPUT (PER 500M);LAYANAN ANTAR/JEMPUT PER 500M (HPP Rp 2.000);2500;0;77;1;4/18/2026 06:48;4/18/2026 06:48;
3028;BIAYA PANGGILAN DAN TRANSPORT;LAYANAN HOMEVISIT DOKTER PER 1 KM (HPP Rp 5.000);10000;0;77;1;4/18/2026 06:49;4/18/2026 06:50;
3029;BIAYA PANGGILAN DAN TRANSPORT (PER 500M);LAYANAN HOMEVISIT DOKTER  (HPP Rp 2.000);5000;0;77;1;4/18/2026 06:49;4/18/2026 06:49;
3030;JAHIT LUKA BERAT;TINDAKAN MEDIS PENUTUPAN LUKA BERAT (HPP Rp 174.000);500000;0;77;1;4/18/2026 06:52;4/18/2026 06:52;
3031;JAHIT LUKA RINGAN;TINDAKAN MEDIS PENUTUPAN LUKA RINGAN (HPP Rp 144.000);300000;0;77;1;4/18/2026 06:53;4/18/2026 06:53;
3032;JAHIT LUKA SEDANG ;TINDAKAN MEDIS PENUTUPAN LUKA SEDANG (HPP Rp 154.000);450000;0;77;1;4/18/2026 06:53;4/18/2026 06:53;
3033;JAHIT RINGAN KECIL;TINDAKAN MEDIS PENUTUPAN LUKA RINGAN (KECIL) (HPP Rp 15.000);50000;0;77;1;4/18/2026 06:54;4/18/2026 06:54;
3035;PEMBACAAN HASIL X-RAY;JASA PEMBACAAN HASIL X-RAY OLEH DOKTER (HPP Rp 5.000);50000;0;77;1;4/18/2026 06:59;4/18/2026 06:59;
3036;JASA X-RAY REPTIL;LAYANAN FOTO RONTGEN MENGGUNAKAN SINAR X (HPP Rp 180.000);300000;0;77;1;4/18/2026 07:00;4/18/2026 07:00;
3037;OP OVARIOHISTEREKTOMI ANJING;KOMP (TINDAKAN OH 650Rb + JS MEDIS RI MEDIUM 65Rb) MAKS BB 5KG;715000;0;77;1;4/18/2026 07:08;4/18/2026 07:08;
3038;OP KASTRASI ANJING;KOMP (TINDAKAN KASTRASI 500Rb + JS MEDIS RI MEDIUM 65Rb) MAKS BB 5KG;565000;0;77;1;4/18/2026 07:10;4/18/2026 07:10;
3039;PENITIPAN GROOMING;LAYANAN PET HOTEL AFTER GROOMING MAKS JAM 5 (HPP Rp 5.000);20000;0;77;1;4/18/2026 07:11;4/18/2026 07:11;
3040;PET HOTEL DENGAN PAKAN;LAYANAN PENITIPAN HEWAN INCLUDE PAKAN (HPP Rp 15.000);50000;0;77;1;4/18/2026 07:12;4/18/2026 07:12;
3041;PET HOTEL TANPA PAKAN;LAYANAN PENITIPAN HEWAN TANPA PAKAN (HPP Rp 10.000);40000;0;77;1;4/18/2026 07:13;4/18/2026 07:13;
3042;JASA MEDIS RI ANJING (SMALL BREAD) ;JASA MEDIS RI ANJING BB 1.1 - 3 Kg (HPP Rp 14.000);55000;0;77;1;4/18/2026 07:14;4/18/2026 07:14;
3043;JASA MEDIS RI KUCING ;JASA MEDIS RI KUCING  (HPP Rp 14.000);45000;0;77;1;4/18/2026 07:15;4/18/2026 07:15;
3044;JASA MEDIS RI ANJING (LARGE BREED);JASA MEDIS RI ANJING BB >6Kg (HPP Rp 14.000);100000;0;77;1;4/18/2026 07:16;4/18/2026 07:16;
3045;JASA MEDIS RI ANJING (MEDIUM BREED);JASA MEDIS RI ANJING BB 3.1-6kg (HPP Rp 14.000);65000;0;77;1;4/18/2026 07:17;4/18/2026 07:17;
3046;JASA MEDIS RI KITTEN ;HPP Rp 10.000  ;10000;0;77;1;4/18/2026 07:18;4/18/2026 07:18;
3047;TINDAKAN KATETERISASI ANJING;TINDAKAN MEDIS PEMASANGAN KATETER ANJING MAKS BB 5Kg (HPP Rp 155.600);600000;0;77;1;4/18/2026 07:20;4/18/2026 07:20;
3048;TINDAKAN KATETERISASI KUCING;TINDAKAN MEDIS PEMASANGAN KATETER KUCING MAKS BB 3KG (HPP Rp 155.600);400000;0;77;1;4/18/2026 07:21;4/18/2026 07:21;
3049;TINDAKAN FLUSHING KUCING;TINDAKAN PEMBILASAN SALURAN KEMIH KUCING  (HPP Rp 25.000);150000;0;77;1;4/18/2026 07:22;4/18/2026 07:22;
3050;OPERASI BERAT;TINDAKAN BEDAH TINGKAT BESAR  (HPP Rp 325.000);325000;0;77;1;4/18/2026 07:26;4/18/2026 07:28;
3051;OPERASI RINGAN ;TINDAKAN BEDAH TINGKAT RINGAN (HPP Rp 125.000);125000;0;77;1;4/18/2026 07:27;4/18/2026 07:29;
3052;OPERASI SANGAT BERAT;TINDAKAN BEDAH TINGKAT SANGAT BERAT (HPP Rp 425.000);425000;0;77;1;4/18/2026 07:27;4/18/2026 07:29;
3053;OPERASI SEDANG;TINDAKAN BEDAH TINGKAT SEDANG (HPP Rp 225.000);225000;0;77;1;4/18/2026 07:28;4/18/2026 07:28;
